target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
0,f,0,1.1011,0,0,0,0,1,d,orange,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,4.7609,0,1,1,0,1,d,orange,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.702,0,2,2,0,1,d,orange,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,2.5755,0,3,3,3,1,k,purple,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.8754,1,0,4,2,1,j,red,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.6825,1,1,5,3,1,k,purple,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.5624,1,2,6,3,1,k,purple,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.6876,1,3,7,0,1,d,orange,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.6149,2,0,8,3,1,k,purple,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.5135,2,1,9,1,1,f,blue,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.5277,2,2,10,1,1,f,blue,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.7594,2,3,11,2,1,j,red,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.5071,3,0,12,3,1,k,purple,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.6471,3,1,13,2,1,j,red,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.617,3,2,14,1,1,f,blue,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.5483,3,3,15,1,1,f,blue,5c276057336b1500015078e9,2021-09-27_17h19.49.884,forced_choiceRT_color,2021.2.3,Linux x86_64,60.0132029,,,,,,,,,,,,,,,,,,,,,,,
