target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
1.42,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,f,1,2.0881,6,0,24,0,1,,,,,
1.1,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,j,1,1.9475,6,1,25,3,1,,,,,
1.43,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,f,1,2.015400002,6,2,26,0,1,,,,,
1.45,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Slow,g,1,2.114800001,6,3,27,1,1,,,,,
1.77,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,g,0,2.079200001,7,0,28,3,1,,,,,
0.4,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Fast,h,1,1.899,7,1,29,2,1,,,,,
0.17,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,h,1,1.9995,7,2,30,2,1,,,,,
0.87,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,f,1,2.0689,7,3,31,0,1,,,,,
1.24,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Slow,h,1,2.100800001,8,0,32,2,1,,,,,
1.49,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Slow,f,1,2.108900002,8,1,33,0,1,,,,,
1.76,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Slow,h,0,2.272400002,8,2,34,1,1,,,,,
0.98,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Fast,f,1,1.831900002,8,3,35,0,1,,,,,
1.55,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Ontime,f,1,2.0589,9,0,36,0,1,,,,,
1.16,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Slow,j,1,2.1039,9,1,37,3,1,,,,,
1.4,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Slow,g,0,2.124799999,9,2,38,2,1,,,,,
0.76,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,7,Fast,g,1,1.869700001,9,3,39,1,1,,,,,
,,,,,,,,,,,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,,,,,,,,,,,6,0,6,0,1
1.11,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,j,1,1.8305,0,0,0,3,1,,,,,
1.08,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,1,1.933300001,0,1,1,2,1,,,,,
