IP_Addresss,target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
,0.24,,,,,,,,,j,red,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Ontime,long,j,1,2.067,6,3,27,2,1,,,,,
,0.13,,,,,,,,,f,blue,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Fast,long,f,1,1.775,7,0,28,1,1,,,,,
,0.06,,,,,,,,,j,red,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Ontime,long,j,1,1.936,7,1,29,2,1,,,,,
,0,,,,,,,,,j,red,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Ontime,long,j,1,1.933,7,2,30,2,1,,,,,
,1.21,,,,,,,,,d,orange,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Ontime,long,d,1,1.991,7,3,31,0,1,,,,,
,1.73,,,,,,,,,k,purple,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Slow,long,j,0,2.233,8,0,32,3,1,,,,,
,0.29,,,,,,,,,d,orange,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Ontime,long,d,1,1.955,8,1,33,0,1,,,,,
,0.39,,,,,,,,,f,blue,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Ontime,long,j,0,1.925,8,2,34,1,1,,,,,
,1.94,,,,,,,,,k,purple,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Slow,long,j,0,2.374,8,3,35,3,1,,,,,
,1.06,,,,,,,,,f,blue,5ebb48aefede09116c27f0f8,2021-09-27_17h11.59,forced_choiceRT_color,2021.2.3,MacIntel,55.55555556,,,,,,,,2,Fast,long,j,0,1.823,9,0,36,1,1,,,,,
