target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
0,k,1,0.6641,6,2,26,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.6584,6,3,27,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.8732,7,0,28,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.7097,7,1,29,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.8423,7,2,30,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.5673,7,3,31,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.6374,8,0,32,0,1,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.6851,8,1,33,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.559,8,2,34,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.738,8,3,35,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
